,method,n_iter,closure_call,is_final,total_loss,pde_loss,bc_loss,gauge_loss,u_mse,u_rmse,u_max_error,p_mse,p_rmse,p_max_error
0,MSE,25000,100,False,166.54756542683796,164.9308071036999,1.5445752826432153,0.07218304049483915,10.357532893156721,3.2183121186666654,6.373882300400305,0.1286809926325875,0.3587213300496466,0.6929691841392327
1,MSE,25000,200,False,66.68045917716768,64.1691915725875,1.8250910526122588,0.6861765519679205,16.70640918270508,4.0873474506952645,6.819754207757885,1.588081683645771,1.2601911298076063,2.935374821193577
2,MSE,25000,300,False,17.44407923341695,11.023737696808299,6.408757840244662,0.011583696363987893,20.87835011846355,4.569283326569228,7.170299651068736,23.099370802124103,4.8061804795621335,11.615965009024734
3,MSE,25000,400,False,4.945318870773723,2.650922600116271,2.2915573199723487,0.002838950685103763,8.664026116610328,2.943471779482577,5.27812962723865,8.415369686156184,2.9009256602257465,7.933273075446194
4,MSE,25000,500,False,1.4110407362131756,0.7683830345987932,0.6419568984332741,0.0007008031811084737,2.4369030107398264,1.5610582983155454,3.34867061272758,4.5624154747436325,2.1359811503717987,5.503198364165415
5,MSE,25000,600,False,0.5712460186121404,0.3713282086923938,0.19990759761031696,1.021230942970098e-05,1.2341863172414942,1.110939385043799,2.4507741882732406,3.5079644901908065,1.8729560833588188,5.2068304424649385
6,MSE,25000,700,False,0.28057345529327654,0.19165705380103232,0.0888917661566746,2.4635335569634285e-05,0.5107968899712783,0.7147005596550756,1.4272842078452017,1.5887043018738274,1.2604381388524497,3.6667759129863686
7,MSE,25000,800,False,0.166394415145684,0.11869409309512582,0.04760156751461983,9.87545359383648e-05,0.2706928465266914,0.5202815070004808,1.0432233906882675,0.9426508531260794,0.9709020821514801,2.9341122647846403
8,MSE,25000,900,False,0.11480363589487058,0.07572999032950095,0.03907340690487085,2.3866049878450063e-07,0.1781705994398192,0.4221025935004655,0.8756954169597854,0.6253784625221954,0.7908087395332676,2.3876071782442865
9,MSE,25000,1000,False,0.07929835861339253,0.05543777851500126,0.023845278942419435,1.5301155971848197e-05,0.0952541017648154,0.30863263237191135,0.630407377606567,0.44250612896732017,0.6652113415804937,1.9510992105707246
10,MSE,25000,1100,False,0.056398278889298506,0.044681991789834875,0.0117038296181258,1.2457481337833167e-05,0.05106775644492406,0.22598176131034128,0.4564552111617188,0.25329470389497966,0.5032839197659504,1.4322782091928694
11,MSE,25000,1200,False,0.03954657182882943,0.032734663872189707,0.006789077185015424,2.283077162429828e-05,0.03156045514997151,0.17765262494534526,0.3418265252340411,0.15486279562049457,0.3935261053862813,1.1033984748832255
12,MSE,25000,1300,False,0.030213101785163014,0.025362607013859124,0.0047908180155187,5.967675578519011e-05,0.021133355909395413,0.14537316089772354,0.2747734215196564,0.10047850960819787,0.3169834532088353,0.8833341964518937
13,MSE,25000,1400,False,0.024598763209511827,0.020303726139818755,0.00429218444556466,2.852624128412048e-06,0.015598685323874876,0.1248946969405622,0.24958611889717355,0.0703154262036361,0.26517056059004,0.671650855602602
14,MSE,25000,1500,False,0.019572658479379217,0.01709471452718908,0.002460495345448291,1.74486067418427e-05,0.011996361429444468,0.10952790251549815,0.20651728817399412,0.06872609958858752,0.26215663178448784,0.6342308711169494
15,MSE,25000,1600,False,0.01570995719431321,0.013439159840708117,0.002263846083528235,6.951270076859178e-06,0.008081498065685868,0.0898971527117843,0.1612481461790255,0.039210688425008716,0.1980168892418238,0.5271526856592491
16,MSE,25000,1700,False,0.012550295560703367,0.010747982906285126,0.0017987329517466233,3.57970267161731e-06,0.00847275421970498,0.09204756498520197,0.18124679228228469,0.04002385509305022,0.20005962884362807,0.5504543566671019
17,MSE,25000,1800,False,0.010496723761788332,0.008828339285383218,0.0016671261025594708,1.258373845642027e-06,0.007990826140907237,0.0893914209580944,0.1715117237202492,0.03533500124553341,0.18797606561882663,0.5148059164804265
18,MSE,25000,1900,False,0.009080525517408927,0.007605880303401416,0.0014735645376724585,1.0806763350519158e-06,0.006115512330609286,0.07820174122491957,0.14828938557718646,0.030631018818066888,0.175017195778206,0.48414158254380296
19,MSE,25000,2000,False,0.007925310990244513,0.006652947798051371,0.0012706449863879462,1.7182058051950762e-06,0.004527059182985451,0.06728342428106236,0.12612495386756908,0.023155601804929263,0.1521696481067406,0.43673019212612446
20,MSE,25000,2100,False,0.007065340522895207,0.005902551433563738,0.0011621028257888647,6.862635426047325e-07,0.003294207504043842,0.05739518711567933,0.11178390007646259,0.017053267672600708,0.13058816053762573,0.3821282173101054
21,MSE,25000,2200,False,0.006275391274311023,0.0052460614586513615,0.0010293279636058063,1.8520538550214806e-09,0.002114616937397231,0.04598496425351695,0.1230529380101776,0.010277652147573925,0.10137875589872823,0.3121195891430666
22,MSE,25000,2300,False,0.0054391670588165705,0.004615755363295261,0.0008201848393698175,3.226856151492414e-06,0.001493669665390396,0.03864802278759414,0.1285622264937306,0.006153091770184402,0.07844164563664127,0.25476245172757556
23,MSE,25000,2400,False,0.00478966552408421,0.0041042594523206565,0.0006853012563701804,1.0481539337375902e-07,0.0012705027305212949,0.0356441121438211,0.1014089818954751,0.005325895462748249,0.0729787329483614,0.22328407521306698
