method,loss_kind,lr,probe_steps,initial_loss,final_loss,loss_ratio,finite
MSE,mse,1e-05,8,1252.004195633077,1251.9626515482662,0.9999668179348314,True
MSE,mse,3e-05,8,1252.004195633077,1251.8809096945286,0.9999015291330665,True
MSE,mse,0.0001,8,1252.004195633077,1251.6066379260442,0.9996824629594537,True
MSE,mse,0.0002,8,1252.004195633077,1251.2347221607522,0.9993854066344118,True
MSE,mse,0.0003,8,1252.004195633077,1250.867097767217,0.9990917779111076,True
MSE,mse,0.0005,8,1252.004195633077,1250.0757984172374,0.9984597517943105,True
MSE,mse,0.0007,8,1252.004195633077,1249.1267931417433,0.9977017629003402,True
MSE,mse,0.001,8,1252.004195633077,1247.2883163445485,0.9962333358746104,True
MSE,mse,0.002,8,1252.004195633077,1239.2026719287726,0.9897751750761257,True
MSE,mse,0.003,8,1252.004195633077,1235.6692784525326,0.9869529852715193,True
MSE,mse,0.005,8,1252.004195633077,1221.0334654601606,0.9752630779665591,True
ID,mse,1e-05,8,1252.004195633077,1251.9626515482662,0.9999668179348314,True
ID,mse,3e-05,8,1252.004195633077,1251.8809096945286,0.9999015291330665,True
ID,mse,0.0001,8,1252.004195633077,1251.6066379260442,0.9996824629594537,True
ID,mse,0.0002,8,1252.004195633077,1251.2347221607522,0.9993854066344118,True
ID,mse,0.0003,8,1252.004195633077,1250.867097767217,0.9990917779111076,True
ID,mse,0.0005,8,1252.004195633077,1250.0757984172374,0.9984597517943105,True
ID,mse,0.0007,8,1252.004195633077,1249.1267931417433,0.9977017629003402,True
ID,mse,0.001,8,1252.004195633077,1247.2883163445485,0.9962333358746104,True
ID,mse,0.002,8,1252.004195633077,1239.2026719287726,0.9897751750761257,True
ID,mse,0.003,8,1252.004195633077,1235.6692784525326,0.9869529852715193,True
ID,mse,0.005,8,1252.004195633077,1221.0334654601606,0.9752630779665591,True
GradNorm,mse,1e-05,8,1252.004195633077,1251.9626515482662,0.9999668179348314,True
GradNorm,mse,3e-05,8,1252.004195633077,1251.8809096945286,0.9999015291330665,True
GradNorm,mse,0.0001,8,1252.004195633077,1251.6066379260442,0.9996824629594537,True
GradNorm,mse,0.0002,8,1252.004195633077,1251.2347221607522,0.9993854066344118,True
GradNorm,mse,0.0003,8,1252.004195633077,1250.867097767217,0.9990917779111076,True
GradNorm,mse,0.0005,8,1252.004195633077,1250.0757984172374,0.9984597517943105,True
GradNorm,mse,0.0007,8,1252.004195633077,1249.1267931417433,0.9977017629003402,True
GradNorm,mse,0.001,8,1252.004195633077,1247.2883163445485,0.9962333358746104,True
GradNorm,mse,0.002,8,1252.004195633077,1239.2026719287726,0.9897751750761257,True
GradNorm,mse,0.003,8,1252.004195633077,1235.6692784525326,0.9869529852715193,True
GradNorm,mse,0.005,8,1252.004195633077,1221.0334654601606,0.9752630779665591,True
NTK,mse,1e-05,8,1252.004195633077,1251.9626515482662,0.9999668179348314,True
NTK,mse,3e-05,8,1252.004195633077,1251.8809096945286,0.9999015291330665,True
NTK,mse,0.0001,8,1252.004195633077,1251.6066379260442,0.9996824629594537,True
NTK,mse,0.0002,8,1252.004195633077,1251.2347221607522,0.9993854066344118,True
NTK,mse,0.0003,8,1252.004195633077,1250.867097767217,0.9990917779111076,True
NTK,mse,0.0005,8,1252.004195633077,1250.0757984172374,0.9984597517943105,True
NTK,mse,0.0007,8,1252.004195633077,1249.1267931417433,0.9977017629003402,True
NTK,mse,0.001,8,1252.004195633077,1247.2883163445485,0.9962333358746104,True
NTK,mse,0.002,8,1252.004195633077,1239.2026719287726,0.9897751750761257,True
NTK,mse,0.003,8,1252.004195633077,1235.6692784525326,0.9869529852715193,True
NTK,mse,0.005,8,1252.004195633077,1221.0334654601606,0.9752630779665591,True
SINOS,sinos,1e-05,8,2619.3426449233175,2618.129593524849,0.9995368870885145,True
SINOS,sinos,3e-05,8,2619.3426449233175,2615.74110281517,0.9986250206267867,True
SINOS,sinos,0.0001,8,2619.3426449233175,2607.7840392647304,0.9955872112871565,True
SINOS,sinos,0.0002,8,2619.3426449233175,2597.55959003233,0.991683770379104,True
SINOS,sinos,0.0003,8,2619.3426449233175,2588.7627601354866,0.9883253590945426,True
SINOS,sinos,0.0005,8,2619.3426449233175,2575.751327545384,0.9833579171238173,True
SINOS,sinos,0.0007,8,2619.3426449233175,2569.1508843993574,0.9808380317782253,True
SINOS,sinos,0.001,8,2619.3426449233175,2568.9789294256407,0.9807723836378225,True
SINOS,sinos,0.002,8,2619.3426449233175,2566.3190224661325,0.9797568971894712,True
SINOS,sinos,0.003,8,2619.3426449233175,2563.95180673283,0.9788531529855999,True
SINOS,sinos,0.005,8,2619.3426449233175,2556.2561961834163,0.975915159911525,True
D-SINOS,dsinos,1e-05,8,177.25780214411708,175.92975042053394,0.9925077953832273,True
D-SINOS,dsinos,3e-05,8,177.25780214411708,173.3106453176417,0.9777321123316975,True
D-SINOS,dsinos,0.0001,8,177.25780214411708,164.53523435229437,0.9282256259643861,True
D-SINOS,dsinos,0.0002,8,177.25780214411708,153.081375701693,0.8636086753305913,True
D-SINOS,dsinos,0.0003,8,177.25780214411708,142.9325888425224,0.8063542880121743,True
D-SINOS,dsinos,0.0005,8,177.25780214411708,126.79971196478522,0.7153406531673704,True
D-SINOS,dsinos,0.0007,8,177.25780214411708,116.84815932595691,0.6591989628245254,True
D-SINOS,dsinos,0.001,8,177.25780214411708,113.70959540433638,0.6414927525271148,True
D-SINOS,dsinos,0.002,8,177.25780214411708,115.46952110031506,0.6514213744252234,True
D-SINOS,dsinos,0.003,8,177.25780214411708,110.69394933882158,0.6244799833906512,True
D-SINOS,dsinos,0.005,8,177.25780214411708,105.32438475288124,0.5941875814710185,True
MSE,mse,1e-05,8,1251.502496005048,1251.4231587079003,0.999936606361233,True
MSE,mse,3e-05,8,1251.502496005048,1251.265779346114,0.9998108540257094,True
MSE,mse,0.0001,8,1251.502496005048,1250.7263688261767,0.9993798436828142,True
MSE,mse,0.0002,8,1251.502496005048,1249.9757534531236,0.9987800723076479,True
MSE,mse,0.0003,8,1251.502496005048,1249.2316495733144,0.9981855038731585,True
MSE,mse,0.0005,8,1251.502496005048,1247.7118471817098,0.9969711216434338,True
MSE,mse,0.0007,8,1251.502496005048,1246.120295869484,0.9956994091879603,True
MSE,mse,0.001,8,1251.502496005048,1243.7377890139187,0.9937956919655253,True
MSE,mse,0.002,8,1251.502496005048,1241.1357136960514,0.9917165308562399,True
MSE,mse,0.003,8,1251.502496005048,1238.4092407710718,0.9895379711380748,True
MSE,mse,0.005,8,1251.502496005048,1235.6983418569814,0.9873718556706715,True
ID,mse,1e-05,8,1251.502496005048,1251.4231587079003,0.999936606361233,True
ID,mse,3e-05,8,1251.502496005048,1251.265779346114,0.9998108540257094,True
ID,mse,0.0001,8,1251.502496005048,1250.7263688261767,0.9993798436828142,True
ID,mse,0.0002,8,1251.502496005048,1249.9757534531236,0.9987800723076479,True
ID,mse,0.0003,8,1251.502496005048,1249.2316495733144,0.9981855038731585,True
ID,mse,0.0005,8,1251.502496005048,1247.7118471817098,0.9969711216434338,True
ID,mse,0.0007,8,1251.502496005048,1246.120295869484,0.9956994091879603,True
ID,mse,0.001,8,1251.502496005048,1243.7377890139187,0.9937956919655253,True
ID,mse,0.002,8,1251.502496005048,1241.1357136960514,0.9917165308562399,True
ID,mse,0.003,8,1251.502496005048,1238.4092407710718,0.9895379711380748,True
ID,mse,0.005,8,1251.502496005048,1235.6983418569814,0.9873718556706715,True
GradNorm,mse,1e-05,8,1251.502496005048,1251.4231587079003,0.999936606361233,True
GradNorm,mse,3e-05,8,1251.502496005048,1251.265779346114,0.9998108540257094,True
GradNorm,mse,0.0001,8,1251.502496005048,1250.7263688261767,0.9993798436828142,True
GradNorm,mse,0.0002,8,1251.502496005048,1249.9757534531236,0.9987800723076479,True
GradNorm,mse,0.0003,8,1251.502496005048,1249.2316495733144,0.9981855038731585,True
GradNorm,mse,0.0005,8,1251.502496005048,1247.7118471817098,0.9969711216434338,True
GradNorm,mse,0.0007,8,1251.502496005048,1246.120295869484,0.9956994091879603,True
GradNorm,mse,0.001,8,1251.502496005048,1243.7377890139187,0.9937956919655253,True
GradNorm,mse,0.002,8,1251.502496005048,1241.1357136960514,0.9917165308562399,True
GradNorm,mse,0.003,8,1251.502496005048,1238.4092407710718,0.9895379711380748,True
GradNorm,mse,0.005,8,1251.502496005048,1235.6983418569814,0.9873718556706715,True
NTK,mse,1e-05,8,1251.502496005048,1251.4231587079003,0.999936606361233,True
NTK,mse,3e-05,8,1251.502496005048,1251.265779346114,0.9998108540257094,True
NTK,mse,0.0001,8,1251.502496005048,1250.7263688261767,0.9993798436828142,True
NTK,mse,0.0002,8,1251.502496005048,1249.9757534531236,0.9987800723076479,True
NTK,mse,0.0003,8,1251.502496005048,1249.2316495733144,0.9981855038731585,True
NTK,mse,0.0005,8,1251.502496005048,1247.7118471817098,0.9969711216434338,True
NTK,mse,0.0007,8,1251.502496005048,1246.120295869484,0.9956994091879603,True
NTK,mse,0.001,8,1251.502496005048,1243.7377890139187,0.9937956919655253,True
NTK,mse,0.002,8,1251.502496005048,1241.1357136960514,0.9917165308562399,True
NTK,mse,0.003,8,1251.502496005048,1238.4092407710718,0.9895379711380748,True
NTK,mse,0.005,8,1251.502496005048,1235.6983418569814,0.9873718556706715,True
SINOS,sinos,1e-05,8,2612.731843070712,2611.1894406980764,0.9994096591363839,True
SINOS,sinos,3e-05,8,2612.731843070712,2608.188455650193,0.9982610586568352,True
SINOS,sinos,0.0001,8,2612.731843070712,2598.5636676643985,0.9945772561987603,True
SINOS,sinos,0.0002,8,2612.731843070712,2587.1793336711075,0.9902200030717379,True
SINOS,sinos,0.0003,8,2612.731843070712,2578.5904781880718,0.9869326946149536,True
SINOS,sinos,0.0005,8,2612.731843070712,2569.439159026376,0.9834301081608686,True
SINOS,sinos,0.0007,8,2612.731843070712,2568.5176177601993,0.9830773963934438,True
SINOS,sinos,0.001,8,2612.731843070712,2570.276172722639,0.9837504677486629,True
SINOS,sinos,0.002,8,2612.731843070712,2559.279432520383,0.9795415627163993,True
SINOS,sinos,0.003,8,2612.731843070712,2559.7444610578673,0.9797195482753526,True
SINOS,sinos,0.005,8,2612.731843070712,2541.424540369121,0.9727077606947278,True
D-SINOS,dsinos,1e-05,8,173.02125023893177,171.14074592774537,0.989131367918163,True
D-SINOS,dsinos,3e-05,8,173.02125023893177,167.4670015408035,0.9678984593484431,True
D-SINOS,dsinos,0.0001,8,173.02125023893177,155.50614590220985,0.8987690569075496,True
D-SINOS,dsinos,0.0002,8,173.02125023893177,140.81529441785952,0.813861269776991,True
D-SINOS,dsinos,0.0003,8,173.02125023893177,128.94630695430376,0.7452628320292265,True
D-SINOS,dsinos,0.0005,8,173.02125023893177,113.71212000653392,0.6572147632126368,True
D-SINOS,dsinos,0.0007,8,173.02125023893177,109.1791818127455,0.6310160264243596,True
D-SINOS,dsinos,0.001,8,173.02125023893177,113.99793268867691,0.6588666567329315,True
