rep,seed,method,selected_lr
0,1234,MSE,0.005
0,1234,ID,0.005
0,1234,GradNorm,0.005
0,1234,NTK,0.005
0,1234,SINOS,0.005
0,1234,D-SINOS,0.005
1,1235,MSE,0.005
1,1235,ID,0.005
1,1235,GradNorm,0.005
1,1235,NTK,0.005
1,1235,SINOS,0.005
1,1235,D-SINOS,0.005
2,1236,MSE,0.005
2,1236,ID,0.005
2,1236,GradNorm,0.005
2,1236,NTK,0.005
2,1236,SINOS,0.005
2,1236,D-SINOS,0.005
3,1237,MSE,0.005
3,1237,ID,0.005
3,1237,GradNorm,0.005
3,1237,NTK,0.005
3,1237,SINOS,0.005
3,1237,D-SINOS,0.005
4,1238,MSE,0.005
4,1238,ID,0.005
4,1238,GradNorm,0.005
4,1238,NTK,0.005
4,1238,SINOS,0.003
4,1238,D-SINOS,0.003
